date,equity,shares_value,cash_pool,contrib_cum,contrib_today
2004-05-03,3889.9988063798946,3469.9988063798946,420.0,3250.0,300.0
2004-05-04,3884.1825314328653,3464.1825314328653,420.0,3250.0,0.0
2004-05-05,3910.0004832720474,3490.0004832720474,420.0,3250.0,0.0
2004-05-06,3890.318173687773,3470.318173687773,420.0,3250.0,0.0
2004-05-07,3849.7551081443467,3429.7551081443467,420.0,3250.0,0.0
2004-05-10,3833.890851300651,3413.890851300651,420.0,3250.0,0.0
2004-05-11,3850.6272443763273,3430.6272443763273,420.0,3250.0,0.0
2004-05-12,3873.752728462685,3453.752728462685,420.0,3250.0,0.0
2004-05-13,3875.2373473372822,3455.2373473372822,420.0,3250.0,0.0
2004-05-14,3862.173017725646,3442.173017725646,420.0,3250.0,0.0
2004-05-17,4032.9371469036464,3732.9371469036464,300.0,3550.0,300.0
2004-05-18,4038.316713239692,3738.316713239692,300.0,3550.0,0.0
2004-05-19,3986.2538241330785,3686.2538241330785,300.0,3550.0,0.0
2004-05-20,3977.1009893487862,3677.1009893487862,300.0,3550.0,0.0
2004-05-21,3990.7400352458753,3690.7400352458753,300.0,3550.0,0.0
2004-05-24,4004.849752920936,3704.849752920936,300.0,3550.0,0.0
2004-05-25,4058.484820540981,3758.484820540981,300.0,3550.0,0.0
2004-05-26,4070.213913602172,3770.213913602172,300.0,3550.0,0.0
2004-05-27,4054.2999676495774,3754.2999676495774,300.0,3550.0,0.0
2004-05-28,4068.9083489563423,3768.9083489563423,300.0,3550.0,0.0
2004-06-01,4075.77845129284,3775.77845129284,300.0,3550.0,0.0
2004-06-02,4073.209915720769,3773.209915720769,300.0,3550.0,0.0
2004-06-03,4222.368477030239,3892.3684770302384,330.0,3700.0,150.0
2004-06-04,4222.452025834691,3892.452025834691,330.0,3700.0,0.0
2004-06-07,4263.871116273988,3933.8711162739883,330.0,3700.0,0.0
2004-06-08,4278.146511662455,3948.146511662455,330.0,3700.0,0.0
2004-06-09,4275.019909129298,3945.0199091292975,330.0,3700.0,0.0
2004-06-10,4292.39293965604,3962.3929396560393,330.0,3700.0,0.0
2004-06-14,4306.929880474276,3976.9298804742757,330.0,3700.0,0.0
