date,equity,shares_value,cash_pool,contrib_cum,contrib_today
2004-05-11,3970.551048189245,3490.551048189245,480.0,3310.0,0.0
2004-05-12,3994.0804697903814,3514.0804697903814,480.0,3310.0,0.0
2004-05-13,3995.592478515117,3515.592478515117,480.0,3310.0,0.0
2004-05-14,3982.297769154706,3502.297769154706,480.0,3310.0,0.0
2004-05-17,4152.900206803559,3822.9002068035584,330.0,3640.0,330.0
2004-05-18,4158.409423652212,3828.409423652212,330.0,3640.0,0.0
2004-05-19,4105.0918262514115,3775.091826251412,330.0,3640.0,0.0
2004-05-20,4095.718412430381,3765.718412430381,330.0,3640.0,0.0
2004-05-21,4109.689686044163,3779.6896860441634,330.0,3640.0,0.0
2004-05-24,4124.13905533403,3794.1390553340298,330.0,3640.0,0.0
2004-05-25,4179.063202255709,3849.0632022557097,330.0,3640.0,0.0
2004-05-26,4191.076142427295,3861.076142427295,330.0,3640.0,0.0
2004-05-27,4174.779445944854,3844.7794459448546,330.0,3640.0,0.0
2004-05-28,4189.737555716686,3859.737555716686,330.0,3640.0,0.0
2004-06-01,4196.7736134481775,3866.7736134481775,330.0,3640.0,0.0
2004-06-02,4194.144348255362,3864.1443482553623,330.0,3640.0,0.0
2004-06-03,4342.55963029108,3982.55963029108,360.0,3790.0,150.0
2004-06-04,4342.645516486648,3982.6455164866484,360.0,3790.0,0.0
2004-06-07,4385.025936970498,4025.0259369704977,360.0,3790.0,0.0
2004-06-08,4399.628110599594,4039.628110599594,360.0,3790.0,0.0
2004-06-09,4396.429851425294,4036.429851425294,360.0,3790.0,0.0
2004-06-10,4414.206649228792,4054.2066492287927,360.0,3790.0,0.0
2004-06-14,4429.078383039878,4069.0783830398777,360.0,3790.0,0.0
2004-06-15,4432.846167154854,4072.8461671548544,360.0,3790.0,0.0
2004-06-16,4446.405676095727,4086.4056760957274,360.0,3790.0,0.0
2004-06-17,4619.421167719086,4229.421167719086,390.0,3940.0,150.0
2004-06-18,4597.175242666669,4207.175242666669,390.0,3940.0,0.0
2004-06-21,4581.561725118213,4191.561725118213,390.0,3940.0,0.0
2004-06-22,4583.829204099755,4193.829204099755,390.0,3940.0,0.0
2004-06-23,4626.183492581082,4236.183492581082,390.0,3940.0,0.0
2004-06-24,4570.353042984142,4180.353042984142,390.0,3940.0,0.0
2004-06-25,4629.980119788536,4239.980119788536,390.0,3940.0,0.0
2004-06-28,4540.312546895649,4150.312546895649,390.0,3940.0,0.0
2004-06-29,4551.941104307539,4161.941104307539,390.0,3940.0,0.0
2004-06-30,4535.055252819828,4145.055252819828,390.0,3940.0,0.0
2004-07-01,4472.297022003196,4082.2970220031957,390.0,3940.0,0.0
2004-07-02,4442.859488988977,4052.859488988977,390.0,3940.0,0.0
2004-07-06,4419.159649568831,4029.159649568831,390.0,3940.0,0.0
2004-07-07,4414.287699435122,4024.287699435122,390.0,3940.0,0.0
2004-07-08,4376.334669902002,3986.3346699020017,390.0,3940.0,0.0
2004-07-09,4385.494296304439,3995.4942963044386,390.0,3940.0,0.0
2004-07-12,4390.621033923106,4000.621033923106,390.0,3940.0,0.0
2004-07-13,4390.752492093863,4000.7524920938627,390.0,3940.0,0.0
2004-07-14,4394.332821908621,4004.3328219086206,390.0,3940.0,0.0
2004-07-15,4369.682133575094,3979.6821335750933,390.0,3940.0,0.0
2004-07-16,4329.486047494893,3939.486047494893,390.0,3940.0,0.0
2004-07-19,4481.6909329796135,4241.6909329796135,240.0,4270.0,330.0
2004-07-20,4550.999884756288,4310.999884756288,240.0,4270.0,0.0
2004-07-21,4505.967056535382,4265.967056535382,240.0,4270.0,0.0
2004-07-22,4499.211251589673,4259.211251589673,240.0,4270.0,0.0
2004-07-23,4483.753948146657,4243.753948146657,240.0,4270.0,0.0
2004-07-26,4501.503242733872,4261.503242733872,240.0,4270.0,0.0
2004-07-27,4545.67487940465,4305.67487940465,240.0,4270.0,0.0
2004-07-28,4547.600796558618,4307.600796558618,240.0,4270.0,0.0
2004-07-29,4552.9681496639005,4312.9681496639005,240.0,4270.0,0.0
2004-07-30,4583.72860863548,4343.72860863548,240.0,4270.0,0.0
2004-08-02,4592.087834635123,4352.087834635123,240.0,4270.0,0.0
2004-08-03,4693.298018490602,4603.298018490602,90.0,4600.0,330.0
2004-08-04,4686.941327757331,4596.941327757331,90.0,4600.0,0.0
2004-08-05,4620.449539750826,4530.449539750826,90.0,4600.0,0.0
2004-08-06,4554.6514349319095,4464.6514349319095,90.0,4600.0,0.0
2004-08-09,4558.543385926876,4468.543385926876,90.0,4600.0,0.0
2004-08-10,4624.7665919643805,4534.7665919643805,90.0,4600.0,0.0
